,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
216,78151,1.01,-0.37,-0.09,32.93,35.3,58.29,1.0
217,78230,0.73,0.08,0.7,-16.83,-75.12,2.56,1.0
218,78338,0.81,-0.34,0.23,-7.8,-45.55,-47.01,1.0
219,78409,0.93,-0.32,-0.2,29.57,-44.57,-84.21,1.0
220,78517,1.09,0.04,-0.28,106.34,-59.57,-33.11,1.0
221,78625,0.99,-0.13,-0.28,113.05,-10.61,8.35,1.0
222,78705,0.97,-0.06,-0.19,106.71,15.0,-27.56,1.0
223,78802,0.98,-0.36,-0.28,54.7,-10.3,38.23,1.0
224,78909,0.94,-0.29,-0.12,-36.52,-50.73,-19.27,1.0
225,78990,0.95,-0.02,-0.62,-30.37,-70.79,30.24,1.0
226,79097,1.07,-0.02,-0.48,8.11,-4.63,26.52,1.0
227,79196,0.94,-0.26,-0.67,0.73,-24.88,33.84,1.0
228,79276,0.88,-0.07,-0.35,-22.8,117.26,-50.67,1.0
229,79384,0.9,-0.17,-0.41,-151.89,-67.44,52.13,1.0
230,79492,0.9,-0.13,-0.5,-101.89,-52.87,35.49,1.0
231,79563,0.81,-0.07,-0.63,-9.82,-15.98,-25.12,1.0
232,79672,0.82,-0.01,-0.65,-44.7,-24.39,-46.16,1.0
233,79752,0.73,0.07,-0.58,-40.85,7.07,24.15,1.0
234,79863,0.85,0.06,-0.6,-0.98,31.95,23.05,1.0
235,79961,0.82,0.04,-0.58,-7.8,33.6,-9.09,1.0
236,80044,0.86,0.01,-0.4,-34.51,19.51,-26.04,1.0
237,80154,0.79,0.1,-0.49,-5.06,2.5,29.15,1.0
238,80265,0.91,0.04,-0.54,-2.62,4.63,21.4,1.0
239,80338,0.86,0.02,-0.53,-8.72,12.56,8.35,1.0
240,80449,0.88,0.02,-0.49,-11.83,18.35,17.01,1.0
241,80532,0.88,0.07,-0.48,-15.12,10.12,-41.34,1.0
242,80643,0.91,0.01,-0.42,60.73,31.22,1.4,1.0
243,80745,0.89,0.05,-0.42,25.18,29.76,-6.95,1.0
244,80828,0.94,0.09,-0.43,-26.77,-9.02,-23.35,1.0
245,80939,0.96,0.09,-0.38,5.49,41.59,-23.96,1.0
246,81049,1.03,0.03,-0.34,24.33,16.4,-15.43,1.0
247,81123,0.94,0.13,-0.37,1.1,-19.51,-55.73,1.0
248,81233,0.88,0.25,-0.39,-3.35,10.43,-37.56,1.0
249,81316,0.87,0.25,-0.31,-45.55,20.12,1.83,1.0
250,81443,0.91,0.19,-0.22,42.07,34.27,2.56,1.0
251,81545,0.97,0.28,-0.27,-24.33,9.21,-9.76,1.0
252,81627,1.02,0.2,-0.27,65.37,35.37,3.35,1.0
253,81734,0.95,0.23,-0.2,-23.17,4.21,-15.3,1.0
254,81844,0.96,0.28,-0.13,18.54,13.96,-15.06,1.0
255,81917,0.97,0.29,-0.18,4.02,2.93,4.88,1.0
256,82052,0.98,0.25,-0.22,-13.96,6.77,5.49,1.0
257,82135,1.0,0.35,-0.08,51.22,9.94,-37.99,1.0
258,82315,0.79,0.12,-0.29,128.84,21.52,22.01,1.0
259,82421,1.04,-0.06,-0.31,85.43,-16.95,32.07,1.0
260,82500,1.18,-0.01,-0.52,-51.59,-40.3,77.74,1.0
261,82608,0.82,-0.26,-0.3,12.44,-9.45,97.07,1.0
